email_id,Customer name_llm,Customer name_regex,Customer name_match,Car model_llm,Car model_regex,Car model_match,Pickup_llm,Pickup_regex,Pickup_match,Dropoff_llm,Dropoff_regex,Dropoff_match
rentalcars_498858,Diana Pereira,Diana Pereira,True,Toyota Yaris,Toyota Yaris,True,2026-03-02 13:30 em Faro Airport,2026-03-02 13:30 em Faro Airport,True,2026-03-03 20:45 em Santa Cruz,2026-03-03 20:45 em Santa Cruz Downtown,False
rentalcars_795205,Tiago Pereira,Tiago Pereira,True,Peugeot 208,Peugeot 208,True,2025-07-14 18:45 em Lisbon Airport,2025-07-14 18:45 em Lisbon Airport,True,2025-07-16 10:45 em F,2025-07-16 10:45 em Funchal Airport,False
rentalcars_442722,Emily Fernandes,Emily Fernandes,True,Nissan Micra,Nissan Micra,True,2026-01-02 20:45 em Funchal Airport,2025-12-20 14:30 em Porto Airport,False,2026-01-12 20:45 em Porto,2026-01-02 20:45 em Funchal Airport,False
rentalcars_213349,Pedro Smith,Pedro Smith,True,Toyota Yaris,Toyota Yaris,True,2026-04-23 12:45 em Funchal Airport,2026-04-23 12:45 em Funchal Airport,True,2026-04-24 14:15 em Santa Cruz,2026-04-24 14:15 em Santa Cruz Downtown,False
rentalcars_869440,Sara Oliveira,Sara Oliveira,True,Peugeot 208,Peugeot 208,True,2026-03-25 12:45 em Gaia Station,2026-03-25 12:45 em Gaia Station,True,2026-04-05 15:45 em Santa Cruz,2026-04-05 15:45 em Santa Cruz Downtown,False
rentalcars_322423,Pedro Fernandes,Pedro Fernandes,True,Toyota Yaris,Toyota Yaris,True,2025-12-29 12:30 em Santa Cruz Downtown,2025-12-29 12:30 em Santa Cruz Downtown,True,2026-01-11 12:30 em Funch,2026-01-11 12:30 em Funchal Airport,False
rentalcars_612311,Carlos Marques,Carlos Marques,True,Ford Fiesta,Ford Fiesta,True,2026-04-11 11:45 em Faro Airport,2026-04-11 11:45 em Faro Airport,True,2026-04-24 18:45 em Funchal,2026-04-24 18:45 em Funchal Airport,False
rentalcars_174878,Rui Oliveira,Rui Oliveira,True,Nissan Micra,Nissan Micra,True,2025-07-31 20:30 em Faro Airport,2025-07-31 20:30 em Faro Airport,True,2025-08-03 17:30 em Funch,2025-08-03 17:30 em Funchal Airport,False
rentalcars_385470,Carlos Marques,Carlos Marques,True,Seat Ibiza,Seat Ibiza,True,2026-03-14 15:45 em Faro Airport,2026-03-14 15:45 em Faro Airport,True,2026-03-23 09:00 em Gaia,2026-03-23 09:00 em Gaia Station,False
rentalcars_340044,John Santos,John Santos,True,Renault Clio,Renault Clio,True,2026-06-11 17:00 em Santa Cruz Downtown,2026-06-11 17:00 em Santa Cruz Downtown,True,2026-06-25 20:30 em Funchal,2026-06-25 20:30 em Funchal Airport,False
rentalcars_391668,Inês Fernandes,Inês Fernandes,True,Seat Ibiza,Seat Ibiza,True,2025-10-01 14:45 em Porto Airport,2025-10-01 14:45 em Porto Airport,True,2025-10-11 09:45 em Faro,2025-10-11 09:45 em Faro Airport,False
rentalcars_445824,Maria Oliveira,Maria Oliveira,True,Nissan Micra,Nissan Micra,True,2026-01-27 15:30 em Santa Cruz Downtown,2026-01-27 15:30 em Santa Cruz Downtown,True,2026-02-08 18:45 em Funchal,2026-02-08 18:45 em Funchal Airport,False
rentalcars_221552,Ana Johnson,Ana Johnson,True,Toyota Yaris,Toyota Yaris,True,2026-01-23 16:00 em Faro Airport,2026-01-23 16:00 em Faro Airport,True,2026-02-06 18:45 em Funchal,2026-02-06 18:45 em Funchal Airport,False
rentalcars_755788,Tiago Fernandes,Tiago Fernandes,True,Nissan Micra,Nissan Micra,True,2026-02-12 08:15 em Porto Airport,2026-02-12 08:15 em Porto Airport,True,2026-02-25 12:15 em Faro,2026-02-25 12:15 em Faro Airport,False
rentalcars_938141,Inês Pereira,Inês Pereira,True,Ford Fiesta,Ford Fiesta,True,2025-10-31 10:30 em Santa Cruz Downtown,2025-10-31 10:30 em Santa Cruz Downtown,True,2025-11-12 16:00 em Faro,2025-11-12 16:00 em Faro Airport,False
rentalcars_583863,Rui Santos,Rui Santos,True,Peugeot 208,Peugeot 208,True,2025-08-30 10:45 em Santa Cruz Downtown,2025-08-30 10:45 em Santa Cruz Downtown,True,2025-09-10 19:30 em Ga,2025-09-10 19:30 em Gaia Station,False
rentalcars_355570,David Fernandes,David Fernandes,True,Hyundai i20,Hyundai i20,True,2026-02-19 10:45 em Funchal Airport,2026-02-19 10:45 em Funchal Airport,True,2026-02-28 11:15 em Porto,2026-02-28 11:15 em Porto Airport,False
rentalcars_495533,Laura Costa,Laura Costa,True,Volkswagen Golf,Volkswagen Golf,True,2026-02-19 11:15 em Lisbon Airport,2026-02-19 11:15 em Lisbon Airport,True,"2026-02-25 17:45 em Faro Airport
 diligently",2026-02-25 17:45 em Faro Airport,False
rentalcars_204555,Rui Fernandes,Rui Fernandes,True,Peugeot 208,Peugeot 208,True,2026-03-27 08:15 em Funchal Airport,2026-03-27 08:15 em Funchal Airport,True,2026-04-04 14:15,2026-04-04 14:15 em Faro Airport,False
rentalcars_781403,Carlos Marques,Carlos Marques,True,Ford Fiesta,Ford Fiesta,True,2025-08-11 13:45 em Santa Cruz Downtown,2025-08-11 13:45 em Santa Cruz Downtown,True,2025-08-25 13:45 em Funchal,2025-08-25 13:45 em Funchal Airport,False
rentalcars_501126,Maria Pereira,Maria Pereira,True,Peugeot 208,Peugeot 208,True,2026-05-14 11:45 em Lisbon Airport,2026-05-14 11:45 em Lisbon Airport,True,2026-05-25 17:15 em Faro,2026-05-25 17:15 em Faro Airport,False
rentalcars_943718,Inês Silva,Inês Silva,True,Peugeot 208,Peugeot 208,True,2026-02-24 18:15 em Porto Airport,2026-02-24 18:15 em Porto Airport,True,2026-03-01 09:45 em Santa Cruz,2026-03-01 09:45 em Santa Cruz Downtown,False
rentalcars_973294,Carlos Fernandes,Carlos Fernandes,True,Toyota Yaris,Toyota Yaris,True,2025-08-16 12:30 at Lisbon Airport,2025-11-24 20:15 em Lisbon Airport,False,2025-08-25 13:30 at Santa Cruz Downtown,2025-12-07 17:30 em Gaia Station,False
rentalcars_970813,Joana Smith,Joana Smith,True,Ford Fiesta,Ford Fiesta,True,2025-09-23 15:30 em Funchal Airport,2025-09-23 15:30 em Funchal Airport,True,2025-09-28 19:30 em Faro,2025-09-28 19:30 em Faro Airport,False
rentalcars_805000,Inês Martins,Inês Martins,True,Seat Ibiza,Seat Ibiza,True,2025-11-12 14:30 em Faro Airport,2025-11-12 14:30 em Faro Airport,True,2025-11-22 09:15 em Funch,2025-11-22 09:15 em Funchal Airport,False
discover_cars_204180,Emily Johnson,Emily Johnson,True,Ford Fiesta,Ford Fiesta,True,2026-06-17 16:30 at Porto Airport,2026-06-17 16:30 at Porto Airport,True,"2026-06-23 08:45 at Lisbon Airport
 diligently",2026-06-23 08:45 at Lisbon Airport,False
discover_cars_196126,Rui Fernandes,Rui Fernandes,True,Toyota Yaris,Toyota Yaris,True,2026-06-05 18:00 at Lisbon Airport,2026-06-05 18:00 at Lisbon Airport,True,2026-06-09 08:30 at Santa Cruz,2026-06-09 08:30 at Santa Cruz Downtown,False
discover_cars_317220,Diana Costa,Diana Costa,True,Peugeot 208,Peugeot 208,True,2026-04-27 11:30 at Santa Cruz Downtown,2026-04-27 11:30 at Santa Cruz Downtown,True,2026-05-01 20:15 at Funch,2026-05-01 20:15 at Funchal Airport,False
discover_cars_439498,Emily Pereira,Emily Pereira,True,Ford Fiesta,Ford Fiesta,True,2025-07-09 12:00 at Santa Cruz Downtown,2025-07-09 12:00 at Santa Cruz Downtown,True,2025-07-12 10:45 at Funchal,2025-07-12 10:45 at Funchal Airport,False
discover_cars_638169,Diana Johnson,Diana Johnson,True,Peugeot 208,Peugeot 208,True,2026-04-30 15:15 at Gaia Station,2026-04-30 15:15 at Gaia Station,True,2026-05-02 17:00 at Santa Cruz,2026-05-02 17:00 at Santa Cruz Downtown,False
discover_cars_763829,Ana Pereira,Ana Pereira,True,Hyundai i20,Hyundai i20,True,2026-04-26 19:30 at Faro Airport,2026-04-26 19:30 at Faro Airport,True,2026-05-05 14:30 at Santa Cruz,2026-05-05 14:30 at Santa Cruz Downtown,False
discover_cars_197758,Rui Santos,Rui Santos,True,Seat Ibiza,Seat Ibiza,True,2026-02-07 19:30 at Santa Cruz Downtown,2026-02-07 19:30 at Santa Cruz Downtown,True,2026-02-09 20:15 at Funch,2026-02-09 20:15 at Funchal Airport,False
discover_cars_743378,Diana Pereira,Diana Pereira,True,Peugeot 208,Peugeot 208,True,2026-06-11 16:00 at Funchal Airport,2026-06-11 16:00 at Funchal Airport,True,2026-06-22 17:30 at,2026-06-22 17:30 at Lisbon Airport,False
discover_cars_540226,Emily Marques,Emily Marques,True,Volkswagen Golf,Volkswagen Golf,True,2026-02-18 10:30 at Santa Cruz Downtown,2026-02-18 10:30 at Santa Cruz Downtown,True,2026-02-24 12:30 at Funchal,2026-02-24 12:30 at Funchal Airport,False
discover_cars_152179,Diana Pereira,Diana Pereira,True,Nissan Micra,Nissan Micra,True,2026-06-11 12:45 at Faro Airport,2026-06-11 12:45 at Faro Airport,True,2026-06-13 18:45 at Santa Cruz,2026-06-13 18:45 at Santa Cruz Downtown,False
discover_cars_219346,Emily Costa,Emily Costa,True,Peugeot 208,Peugeot 208,True,2025-12-24 09:30 at Santa Cruz Downtown,2025-12-24 09:30 at Santa Cruz Downtown,True,2025-12-31 18:45 at Gaia,2025-12-31 18:45 at Gaia Station,False
discover_cars_468154,Emily Johnson,Emily Johnson,True,Renault Clio,Renault Clio,True,2026-05-27 10:15 at Porto Airport,2026-05-27 10:15 at Porto Airport,True,"2026-06-10 09:15 at Lisbon Airport
 diligently",2026-06-10 09:15 at Lisbon Airport,False
discover_cars_179013,Diana Coelho,Diana Coelho,True,Seat Ibiza,Seat Ibiza,True,2025-09-29 18:45 at Gaia Station,2025-09-29 18:45 at Gaia Station,True,2025-10-12 15:45 at Santa Cruz,2025-10-12 15:45 at Santa Cruz Downtown,False
discover_cars_584172,Maria Smith,Maria Smith,True,Hyundai i20,Hyundai i20,True,2026-02-17 08:30 at Gaia Station,2026-02-17 08:30 at Gaia Station,True,2026-02-18 12:00 at Funchal,2026-02-18 12:00 at Funchal Airport,False
discover_cars_143015,Laura Martins,Laura Martins,True,Volkswagen Golf,Volkswagen Golf,True,2026-02-16 17:15 at Santa Cruz Downtown,2026-02-16 17:15 at Santa Cruz Downtown,True,"2026-03-01 13:45 at Lisbon Airport
 diligently",2026-03-01 13:45 at Lisbon Airport,False
discover_cars_169113,Inês Johnson,Inês Johnson,True,Renault Clio,Renault Clio,True,2025-12-16 16:45 at Gaia Station,2025-12-16 16:45 at Gaia Station,True,2025-12-18 12:30 at Santa Cruz,2025-12-18 12:30 at Santa Cruz Downtown,False
discover_cars_248298,Tiago Coelho,Tiago Coelho,True,Hyundai i20,Hyundai i20,True,2025-12-27 18:45 at Porto Airport,2025-12-27 18:45 at Porto Airport,True,2026-01-01 10:00 at Santa Cruz,2026-01-01 10:00 at Santa Cruz Downtown,False
discover_cars_802667,Miguel Oliveira,Miguel Oliveira,True,Volkswagen Golf,Volkswagen Golf,True,2026-06-25 19:00 at Santa Cruz Downtown,2026-06-25 19:00 at Santa Cruz Downtown,True,"2026-07-09 18:45 at Porto Airport
 diligently",2026-07-09 18:45 at Porto Airport,False
discover_cars_237414,Joana Pereira,Joana Pereira,True,Volkswagen Golf,Volkswagen Golf,True,2026-05-02 10:15 at Gaia Station,2026-05-02 10:15 at Gaia Station,True,2026-05-09 10:15 at Faro,2026-05-09 10:15 at Faro Airport,False
discover_cars_584106,Tiago Fernandes,Tiago Fernandes,True,Peugeot 208,Peugeot 208,True,2025-11-22 14:45 at Santa Cruz Downtown,2025-11-22 14:45 at Santa Cruz Downtown,True,2025-12-05 10:15 at,2025-12-05 10:15 at Lisbon Airport,False
discover_cars_681478,David Johnson,David Johnson,True,Nissan Micra,Nissan Micra,True,2025-08-22 16:00 at Lisbon Airport,2025-08-22 16:00 at Lisbon Airport,True,"2025-09-03 12:00 at Porto Airport
 diligently",2025-09-03 12:00 at Porto Airport,False
discover_cars_196168,Pedro Marques,Pedro Marques,True,Seat Ibiza,Seat Ibiza,True,2025-10-22 15:30 at Funchal Airport,2025-10-22 15:30 at Funchal Airport,True,2025-11-05 08:45 at Far,2025-11-05 08:45 at Faro Airport,False
discover_cars_335445,Maria Johnson,Maria Johnson,True,Peugeot 208,Peugeot 208,True,2025-07-15 09:30 at Lisbon Airport,2025-07-15 09:30 at Lisbon Airport,True,2025-07-21 20:15 at Funchal,2025-07-21 20:15 at Funchal Airport,False
discover_cars_165858,Tiago Fernandes,Tiago Fernandes,True,Peugeot 208,Peugeot 208,True,2025-08-26 15:00 at Gaia Station,2025-08-26 15:00 at Gaia Station,True,2025-09-09 18:15 at,2025-09-09 18:15 at Lisbon Airport,False
discover_cars_352249,Tiago Johnson,Tiago Johnson,True,Volkswagen Golf,Volkswagen Golf,True,2026-04-19 10:00 at Funchal Airport,2026-04-19 10:00 at Funchal Airport,True,2026-04-26 16:30 at Santa Cruz,2026-04-26 16:30 at Santa Cruz Downtown,False
discover_cars_766549,David Silva,David Silva,True,Ford Fiesta,Ford Fiesta,True,2026-01-15 12:00 at Porto Airport,2026-01-15 12:00 at Porto Airport,True,"2026-01-21 13:00 at Lisbon Airport
 diligently",2026-01-21 13:00 at Lisbon Airport,False
discover_cars_166165,Diana Oliveira,Diana Oliveira,True,Peugeot 208,Peugeot 208,True,2026-02-20 12:15 at Funchal Airport,2026-02-20 12:15 at Funchal Airport,True,2026-02-21 08:15 at Porto,2026-02-21 08:15 at Porto Airport,False
discover_cars_596395,Rui Costa,Rui Costa,True,Seat Ibiza,Seat Ibiza,True,2025-11-07 20:15 at Funchal Airport,2025-11-07 20:15 at Funchal Airport,True,2025-11-08 12:30 at Ga,2025-11-08 12:30 at Gaia Station,False
discover_cars_488984,Inês Fernandes,Inês Fernandes,True,Hyundai i20,Hyundai i20,True,2026-01-07 20:00 at Santa Cruz Downtown,2026-01-07 20:00 at Santa Cruz Downtown,True,2026-01-15 17:15 at Porto,2026-01-15 17:15 at Porto Airport,False
discover_cars_218959,Ana Garcia,Ana Garcia,True,Peugeot 208,Peugeot 208,True,2025-07-14 10:45 at Santa Cruz Downtown,2025-07-14 10:45 at Santa Cruz Downtown,True,2025-07-26 16:45 at Funch,2025-07-26 16:45 at Funchal Airport,False
discover_cars_324993,Carlos Fernandes,Carlos Fernandes,True,Nissan Micra,Nissan Micra,True,2026-05-10 19:45 at Lisbon Airport,2026-05-10 19:45 at Lisbon Airport,True,2026-05-15 11:00 at Funchal,2026-05-15 11:00 at Funchal Airport,False
discover_cars_192055,Carlos Fernandes,Carlos Fernandes,True,Peugeot 208,Peugeot 208,True,2026-06-15 13:30 at Santa Cruz Downtown,2026-06-15 13:30 at Santa Cruz Downtown,True,2026-06-29 19:00 at Porto,2026-06-29 19:00 at Porto Airport,False
discover_cars_601916,Carlos Martins,Carlos Martins,True,Ford Fiesta,Ford Fiesta,True,2026-03-27 20:45 at Lisbon Airport,2026-03-27 20:45 at Lisbon Airport,True,"2026-04-03 17:00 at Porto Airport
 diligently",2026-04-03 17:00 at Porto Airport,False
discover_cars_757629,John Fernandes,John Fernandes,True,Peugeot 208,Peugeot 208,True,2026-04-06 18:30 at Gaia Station,2026-04-06 18:30 at Gaia Station,True,2026-04-11 15:15 at Far,2026-04-11 15:15 at Faro Airport,False
discover_cars_462147,Miguel Martins,Miguel Martins,True,Nissan Micra,Nissan Micra,True,2026-01-21 20:30 at Porto Airport,2026-01-21 20:30 at Porto Airport,True,"2026-01-24 16:00 at Lisbon Airport
 diligently",2026-01-24 16:00 at Lisbon Airport,False
discover_cars_247720,David Garcia,David Garcia,True,Seat Ibiza,Seat Ibiza,True,2025-08-19 12:45 at Lisbon Airport,2025-08-19 12:45 at Lisbon Airport,True,"2025-08-20 17:45 at Porto Airport
 diligently",2025-08-20 17:45 at Porto Airport,False
discover_cars_639728,Pedro Fernandes,Pedro Fernandes,True,Nissan Micra,Nissan Micra,True,2026-02-25 12:45 at Faro Airport,2026-02-25 12:45 at Faro Airport,True,2026-03-05 08:00 at Santa Cruz,2026-03-05 08:00 at Santa Cruz Downtown,False
discover_cars_377319,Sara Oliveira,Sara Oliveira,True,Toyota Yaris,Toyota Yaris,True,2026-01-04 14:30 at Funchal Airport,2026-01-04 14:30 at Funchal Airport,True,2026-01-17 08:45 at Santa Cruz,2026-01-17 08:45 at Santa Cruz Downtown,False
discover_cars_256175,Laura Fernandes,Laura Fernandes,True,Peugeot 208,Peugeot 208,True,2026-05-07 10:30 at Lisbon Airport,2026-05-07 10:30 at Lisbon Airport,True,2026-05-16 17:30 at Faro,2026-05-16 17:30 at Faro Airport,False
discover_cars_658198,Laura Costa,Laura Costa,True,Ford Fiesta,Ford Fiesta,True,2026-03-08 17:30 at Porto Airport,2026-03-08 17:30 at Porto Airport,True,"2026-03-20 15:00 at Gaia Station
 diligently",2026-03-20 15:00 at Gaia Station,False
discover_cars_935457,Tiago Smith,Tiago Smith,True,Nissan Micra,Nissan Micra,True,2026-06-18 08:45 at Gaia Station,2026-06-18 08:45 at Gaia Station,True,2026-06-29 12:15 at Funch,2026-06-29 12:15 at Funchal Airport,False
discover_cars_749840,Inês Martins,Inês Martins,True,Nissan Micra,Nissan Micra,True,2026-01-11 18:15 at Lisbon Airport,2026-01-11 18:15 at Lisbon Airport,True,2026-01-14 08:00 at Funchal,2026-01-14 08:00 at Funchal Airport,False
discover_cars_651002,Inês Fernandes,Inês Fernandes,True,Peugeot 208,Peugeot 208,True,2026-01-09 10:45 at Santa Cruz Downtown,2026-01-09 10:45 at Santa Cruz Downtown,True,2026-01-15 16:30 at,2026-01-15 16:30 at Porto Airport,False
discover_cars_934042,Miguel Costa,Miguel Costa,True,Volkswagen Golf,Volkswagen Golf,True,2025-11-18 09:45 at Lisbon Airport,2025-11-18 09:45 at Lisbon Airport,True,"2025-11-23 14:30 at Porto Airport
 diligently",2025-11-23 14:30 at Porto Airport,False
discover_cars_715336,Tiago Martins,Tiago Martins,True,Seat Ibiza,Seat Ibiza,True,2025-10-31 08:15 at Funchal Airport,2025-10-31 08:15 at Funchal Airport,True,2025-11-04 18:15 at Far,2025-11-04 18:15 at Faro Airport,False
discover_cars_908206,Maria Coelho,Maria Coelho,True,Toyota Yaris,Toyota Yaris,True,2025-09-09 16:15 at Faro Airport,2025-09-09 16:15 at Faro Airport,True,2025-09-10 14:45 at Gaia,2025-09-10 14:45 at Gaia Station,False
discover_cars_576419,Miguel Smith,Miguel Smith,True,Ford Fiesta,Ford Fiesta,True,2026-05-25 16:45 at Porto Airport,2026-05-25 16:45 at Porto Airport,True,"2026-06-03 10:45 at Lisbon Airport
 diligently",2026-06-03 10:45 at Lisbon Airport,False
discover_cars_525187,Rui Coelho,Rui Coelho,True,Seat Ibiza,Seat Ibiza,True,2026-02-04 13:00 at Lisbon Airport,2026-02-04 13:00 at Lisbon Airport,True,2026-02-13 14:00 at Faro,2026-02-13 14:00 at Faro Airport,False
discover_cars_347781,Miguel Martins,Miguel Martins,True,Peugeot 208,Peugeot 208,True,2025-08-01 09:45 at Faro Airport,2025-08-01 09:45 at Faro Airport,True,2025-08-12 12:15 at Gaia,2025-08-12 12:15 at Gaia Station,False
discover_cars_485397,Inês Smith,Inês Smith,True,Seat Ibiza,Seat Ibiza,True,2026-05-11 11:15 at Faro Airport,2026-05-11 11:15 at Faro Airport,True,2026-05-15 15:15 at Gaia,2026-05-15 15:15 at Gaia Station,False
discover_cars_221886,Laura Fernandes,Laura Fernandes,True,Renault Clio,Renault Clio,True,2026-06-14 19:45 at Funchal Airport,2026-06-14 19:45 at Funchal Airport,True,2026-06-18 09:45 at Far,2026-06-18 09:45 at Faro Airport,False
discover_cars_147489,Tiago Santos,Tiago Santos,True,Volkswagen Golf,Volkswagen Golf,True,2026-02-02 19:00 at Funchal Airport,2026-02-02 19:00 at Funchal Airport,True,2026-02-08 16:00 at Faro,2026-02-08 16:00 at Faro Airport,False
discover_cars_903028,Pedro Oliveira,Pedro Oliveira,True,Renault Clio,Renault Clio,True,2026-05-25 18:45 at Faro Airport,2026-05-25 18:45 at Faro Airport,True,2026-06-06 13:45 at Funchal,2026-06-06 13:45 at Funchal Airport,False
renticop_booking_988283,Joana Fernandes,Joana Fernandes,True,Volkswagen Golf,Volkswagen Golf,True,2026-01-06 16:15 em Faro Airport,2026-01-06 16:15 em Faro Airport,True,2026-01-08 08:30 em Gaia,2026-01-08 08:30 em Gaia Station,False
renticop_booking_859489,Emily Pereira,Emily Pereira,True,Toyota Yaris,Toyota Yaris,True,2026-06-09 11:45 em Porto Airport,2026-06-09 11:45 em Porto Airport,True,2026-06-18 11:30 em Funchal,2026-06-18 11:30 em Funchal Airport,False
renticop_booking_476710,Laura Coelho,Laura Coelho,True,Seat Ibiza,Seat Ibiza,True,2025-12-05 13:45 em Gaia Station,2025-12-05 13:45 em Gaia Station,True,2025-12-10 15:00 em Faro,2025-12-10 15:00 em Faro Airport,False
renticop_booking_901467,Inês Silva,Inês Silva,True,Nissan Micra,Nissan Micra,True,2025-07-04 10:15 em Funchal Airport,2025-07-04 10:15 em Funchal Airport,True,2025-07-11 09:15 em Lisbon,2025-07-11 09:15 em Lisbon Airport,False
renticop_booking_799143,Tiago Coelho,Tiago Coelho,True,Volkswagen Golf,Volkswagen Golf,True,2026-05-12 18:45 em Santa Cruz Downtown,2026-05-12 18:45 em Santa Cruz Downtown,True,2026-05-20 08:00 em Faro,2026-05-20 08:00 em Faro Airport,False
renticop_booking_661762,Carlos Smith,Carlos Smith,True,Renault Clio,Renault Clio,True,2025-11-24 16:45 em Funchal Airport,2025-11-24 16:45 em Funchal Airport,True,2025-11-25 20:15 em Santa Cruz,2025-11-25 20:15 em Santa Cruz Downtown,False
renticop_booking_364679,Tiago Costa,Tiago Costa,True,Toyota Yaris,Toyota Yaris,True,2025-12-29 20:45 em Faro Airport,2025-12-29 20:45 em Faro Airport,True,2026-01-03 09:30 em Santa Cruz,2026-01-03 09:30 em Santa Cruz Downtown,False
renticop_booking_279708,John Martins,John Martins,True,Toyota Yaris,Toyota Yaris,True,2025-08-12 14:30 em Santa Cruz Downtown,2025-08-12 14:30 em Santa Cruz Downtown,True,2025-08-20 17:00 em Funchal,2025-08-20 17:00 em Funchal Airport,False
renticop_booking_809922,Rui Marques,Rui Marques,True,Seat Ibiza,Seat Ibiza,True,2026-04-03 14:15 em Santa Cruz Downtown,2026-04-03 14:15 em Santa Cruz Downtown,True,2026-04-09 20:00 em Ga,2026-04-09 20:00 em Gaia Station,False
renticop_booking_979414,Sara Garcia,Sara Garcia,True,Peugeot 208,Peugeot 208,True,2025-08-08 17:45 em Funchal Airport,2025-08-08 17:45 em Funchal Airport,True,2025-08-14 20:30 em Ga,2025-08-14 20:30 em Gaia Station,False
